#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 4096  8192     0     0  1.16925e+00  2.13273e-02 -2.20459e-02  1772
 4096  8192     0     0  6.15097e-01  2.31096e-02 -2.00080e-02  2650
 4096  8192     0     0  1.27342e+00  2.40081e-02  2.81536e-02   550
 4096  8192     0     0  1.63134e+00  2.35899e-02 -2.01829e-02  1464
 4096  8192     0     0  6.31707e-01  2.30371e-02  1.87123e-02  5158
 4096  8192     0     0  8.42914e-01  2.21925e-02  2.07943e-02  5030
 4096  8192     0     0  3.58939e-01  2.26208e-02  2.38957e-02  5030
 4096  8192     0     0  9.22263e-01  2.14844e-02  2.04469e-02  5142
 4096  8192     0     0  3.03414e-01  2.25373e-02 -2.18853e-02  1260
 4096  8192     0     0  6.56485e-01  2.30014e-02  2.14176e-02  5030
 4096  8192     0     0  1.12559e+01  2.14421e-02  2.10944e-02  5056
 4096  8192     0     0  1.05236e+00  2.45011e-02 -1.82729e-02   224
 4096  8192     0     0  9.54195e-01  2.28311e-02 -1.94578e-02  3124
 4096  8192     0     0  2.36062e+01  2.27738e-02  2.08548e-02  1502
 4096  8192     0     0  7.20143e-01  2.18995e-02  2.23382e-02   350
 4096  8192     0     0  5.10869e-01  2.17218e-02  2.16365e-02  7046
 4096  8192     0     0  8.48540e-01  2.13151e-02  2.20135e-02  1432
 4096  8192     0     0  7.50983e-01  2.44695e-02  2.35046e-02  7046
 4096  8192     0     0  1.22250e+00  2.50455e-02  2.42535e-02  7046
 4096  8192     0     0  1.15681e+00  2.33034e-02  2.02945e-02  3198
 4096  8192     0     0  1.52582e+00  2.32508e-02  2.33923e-02  2398
 4096  8192     0     0  6.99592e-01  2.30099e-02  1.88505e-02  3168
 4096  8192     0     0  3.80869e-01  2.44446e-02  2.02258e-02  7046
 4096  8192     0     0  6.23476e-01  2.37229e-02  2.00363e-02  1430
 4096  8192     0     0  9.11399e-01  2.40910e-02 -2.18338e-02  6008
 4096  8192     0     0  1.08464e+00  2.45971e-02 -2.11027e-02  7188
 4096  8192     0     0  5.97014e-01  2.42336e-02 -2.04499e-02  8056
 4096  8192     0     0  1.06118e+00  2.55355e-02  1.84597e-02  5140
 4096  8192     0     0  1.01615e+00  2.44196e-02  2.06748e-02  3550
 4096  8192     0     0  5.24272e-01  2.47469e-02  2.25602e-02   606
 4096  8192     0     0  8.88607e-01  2.50903e-02  2.58825e-02   606
 4096  8192     0     0  2.13329e+00  2.55349e-02  1.93972e-02  6110
 4096  8192     0     0  1.03177e+00  2.49256e-02  1.99122e-02  7046
 4096  8192     0     0  4.77131e-01  2.59122e-02  2.52984e-02  5982
 4096  8192     0     0  1.36505e+00  2.48281e-02  2.76982e-02  7046
 4096  8192     0     0  1.70163e+00  2.36469e-02 -2.05181e-02  1524
 4096  8192     0     0  1.80773e+00  2.44924e-02  2.17733e-02  1484
 4096  8192     0     0  4.42611e-01  2.54578e-02  2.04085e-02   606
 4096  8192     0     0  5.15908e+00  2.45792e-02  1.94213e-02  5214
 4096  8192     0     0  6.27655e-01  2.60126e-02 -1.93888e-02  1464
 4096  8192     0     0  5.95554e-01  2.68116e-02 -2.04576e-02  2386
 4096  8192     0     0  9.05874e-01  2.55137e-02  2.05181e-02  1490
 4096  8192     0     0  8.33431e-01  2.72801e-02 -2.33514e-02  3552
 4096  8192     0     0  1.28688e+00  2.79244e-02  2.08313e-02  5926
 4096  8192     0     0  1.19998e+00  2.70469e-02  2.29184e-02  1516
 4096  8192     0     0  5.65401e-01  2.72983e-02  2.29792e-02  7046
 4096  8192     0     0  3.64631e-01  2.71010e-02  2.80131e-02   350
 4096  8192     0     0  5.96265e+00  2.43889e-02  3.12836e-02   350
 4096  8192     0     0  3.32292e+00  2.61492e-02 -1.90210e-02  8030
 4096  8192     0     0  2.19506e+00  2.76379e-02 -2.31711e-02  7262
 4096  8192     0     0  1.25128e+00  2.75849e-02  2.22729e-02  7046
 4096  8192     0     0  1.42337e+00  2.86583e-02  2.41544e-02  6110
 4096  8192     0     0  2.12454e+00  2.59815e-02  2.50083e-02  1516
 4096  8192     0     0  3.85143e+00  2.68848e-02  2.53643e-02  7134
 4096  8192     0     0  1.14311e+00  2.67861e-02  2.38976e-02  6110
 4096  8192     0     0  3.69391e+00  2.91057e-02  2.50876e-02  6110
 4096  8192     0     0  5.69285e-01  2.88068e-02  2.16652e-02  1484
 4096  8192     0     0  1.47379e+00  2.69735e-02  2.52407e-02  1516
 4096  8192     0     0  9.83989e+00  2.83773e-02  2.51096e-02  5908
