00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Mon Aug  5 00:50:03 2024
00161  0.17861 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:15 2024
00162  0.17963 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:21 2024
00163  0.17821 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:26 2024
00164  0.17878 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:31 2024
00165  0.17848 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:36 2024
00166  0.17871 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:41 2024
00167  0.17868 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:47 2024
00168  0.17877 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:52 2024
00169  0.17871 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:05:57 2024
00170  0.18014 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:03 2024
00171  0.17817 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:08 2024
00172  0.17687 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:13 2024
00173  0.17848 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:18 2024
00174  0.17879 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:23 2024
00175  0.17865 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:29 2024
00176  0.17884 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:34 2024
00177  0.17924 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:39 2024
00178  0.17812 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:44 2024
00179  0.17959 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:49 2024
00180  0.17926 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:06:54 2024
00181  0.17852 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:00 2024
00182  0.17908 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:05 2024
00183  0.17731 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:10 2024
00184  0.17840 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:15 2024
00185  0.17780 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:20 2024
00186  0.17919 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:25 2024
00187  0.17869 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:31 2024
00188  0.18003 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:36 2024
00189  0.17961 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:41 2024
00190  0.17906 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:47 2024
00191  0.17791 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:52 2024
00192  0.17817 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:07:57 2024
00193  0.17889 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:02 2024
00194  0.17880 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:08 2024
00195  0.17846 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:14 2024
00196  0.17886 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:19 2024
00197  0.17921 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:24 2024
00198  0.17768 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:30 2024
00199  0.17956 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:35 2024
00200  0.17922 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:40 2024
00201  0.17876 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:45 2024
00202  0.17826 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:50 2024
00203  0.17870 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:08:56 2024
00204  0.17889 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:01 2024
00205  0.17758 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:06 2024
00206  0.17772 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:11 2024
00207  0.17906 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:16 2024
00208  0.17914 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:22 2024
00209  0.17995 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:27 2024
00210  0.17991 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:32 2024
00211  0.17878 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:37 2024
00212  0.17768 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:42 2024
00213  0.17778 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:48 2024
00214  0.17738 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:53 2024
00215  0.17851 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:09:58 2024
00216  0.18053 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:03 2024
00217  0.17892 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:08 2024
00218  0.17924 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:13 2024
00219  0.17845 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:19 2024
00220  0.17923 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:24 2024
00221  0.17932 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:30 2024
00222  0.17972 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:35 2024
00223  0.17928 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:40 2024
00224  0.18019 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:45 2024
00225  0.18036 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:50 2024
00226  0.18018 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:10:55 2024
00227  0.18041 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:01 2024
00228  0.18034 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:06 2024
00229  0.17958 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:12 2024
00230  0.17811 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:17 2024
00231  0.17953 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:22 2024
00232  0.17861 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:27 2024
00233  0.17976 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:32 2024
00234  0.17908 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:38 2024
00235  0.17872 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:43 2024
00236  0.17937 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:48 2024
00237  0.17878 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:53 2024
00238  0.18016 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:11:58 2024
00239  0.17972 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:04 2024
00240  0.17764 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:09 2024
00241  0.18071 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:14 2024
00242  0.17956 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:19 2024
00243  0.17732 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:24 2024
00244  0.17810 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:30 2024
00245  0.17916 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:35 2024
00246  0.17924 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:40 2024
00247  0.17859 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:45 2024
00248  0.17900 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:50 2024
00249  0.17882 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:12:55 2024
00250  0.17915 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:01 2024
00251  0.17844 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:06 2024
00252  0.17815 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:12 2024
00253  0.17766 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:17 2024
00254  0.17924 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:22 2024
00255  0.17948 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:28 2024
00256  0.17911 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:33 2024
00257  0.17955 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:38 2024
00258  0.17938 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:43 2024
00259  0.17808 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:48 2024
00260  0.17944 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:53 2024
00261  0.17777 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:13:58 2024
