#step,residue,       energy,           # of electrons
 48  0.000003678380 -44.401416078602 50.000000
 49  0.000003512527 -44.403418282360 50.000000
 50  0.000003358640 -44.405224463979 50.000000
 51  0.000003216010 -44.406856638606 50.000000
 52  0.000003083978 -44.408334309910 50.000000
 53  0.000002961931 -44.409674757165 50.000000
 54  0.000002849303 -44.410893292419 50.000000
 55  0.000002745570 -44.412003489974 50.000000
 56  0.000002650249 -44.413017390467 50.000000
 57  0.000002562892 -44.413945681873 50.000000
 58  0.000002483087 -44.414797859673 50.000000
 59  0.000002410451 -44.415582368356 50.000000
 60  0.000002344632 -44.416306726254 50.000000
 61  0.000002285299 -44.416977635593 50.000000
 62  0.000002232147 -44.417601079443 50.000000
 63  0.000002184889 -44.418182407112 50.000000
 64  0.000002143255 -44.418726409357 50.000000
 65  0.000002106991 -44.419237384643 50.000000
 66  0.000002075859 -44.419719197525 50.000000
 67  0.000002049631 -44.420175330133 50.000000
 68  0.000002028088 -44.420608927586 50.000000
 69  0.000002011026 -44.421022838095 50.000000
 70  0.000001998247 -44.421419648394 50.000000
 71  0.000001989561 -44.421801715081 50.000000
 72  0.000001984789 -44.422171192363 50.000000
 73  0.000001983759 -44.422530056649 50.000000
 74  0.000001986306 -44.422880128373 50.000000
 75  0.000001992274 -44.423223091381 50.000000
 76  0.000002001514 -44.423560510184 50.000000
 77  0.000002013887 -44.423893845325 50.000000
 78  0.000002029259 -44.424224467095 50.000000
 79  0.000002047506 -44.424553667787 50.000000
 80  0.000002068509 -44.424882672676 50.000000
 81  0.000002092160 -44.425212649850 50.000000
 82  0.000002118354 -44.425544719057 50.000000
 83  0.000002146997 -44.425879959654 50.000000
 84  0.000002177998 -44.426219417777 50.000000
 85  0.000002211274 -44.426564112810 50.000000
 86  0.000002246747 -44.426915043231 50.000000
 87  0.000002284344 -44.427273191897 50.000000
 88  0.000002323997 -44.427639530827 50.000000
 89  0.000002365640 -44.428015025520 50.000000
 90  0.000002409212 -44.428400638857 50.000000
 91  0.000002454655 -44.428797334604 50.000000
 92  0.000002501910 -44.429206080554 50.000000
 93  0.000002550923 -44.429627851307 50.000000
 94  0.000002601638 -44.430063630713 50.000000
 95  0.000002653999 -44.430514413971 50.000000
 96  0.000002707949 -44.430981209389 50.000000
 97  0.000002763430 -44.431465039785 50.000000
 98  0.000002820381 -44.431966943537 50.000000
 99  0.000002878736 -44.432487975230 50.000000
 100  0.000002938427 -44.433029205902 50.000000
 101  0.000002999381 -44.433591722842 50.000000
 102  0.000003061517 -44.434176628908 50.000000
 103  0.000003124750 -44.434785041314 50.000000
 104  0.000003188986 -44.435418089846 50.000000
 105  0.000003254124 -44.436076914456 50.000000
 106  0.000003320054 -44.436762662162 50.000000
 107  0.000003386655 -44.437476483206 50.000000
 108  0.000003453798 -44.438219526410 50.000000
 109  0.000003521343 -44.438992933652 50.000000
 110  0.000003589138 -44.439797833420 50.000000
 111  0.000003657019 -44.440635333370 50.000000
 112  0.000003724814 -44.441506511856 50.000000
 113  0.000003792335 -44.442412408381 50.000000
 114  0.000003859385 -44.443354012949 50.000000
 115  0.000003925755 -44.444332254321 50.000000
 116  0.000003991226 -44.445347987194 50.000000
 117  0.000004055568 -44.446401978349 50.000000
 118  0.000004118543 -44.447494891865 50.000000
 119  0.000004179904 -44.448627273519 50.000000
 120  0.000004239400 -44.449799534555 50.000000
 121  0.000004296773 -44.451011935027 50.000000
 122  0.000004351763 -44.452264567002 50.000000
 123  0.000004404111 -44.453557337943 50.000000
 124  0.000004453558 -44.454889954626 50.000000
 125  0.000004499852 -44.456261908031 50.000000
 126  0.000004542746 -44.457672459620 50.000000
 127  0.000004582004 -44.459120629500 50.000000
 128  0.000004617403 -44.460605186932 50.000000
 129  0.000004648735 -44.462124643654 50.000000
 130  0.000004675812 -44.463677250468 50.000000
 131  0.000004698464 -44.465260997456 50.000000
 132  0.000004716548 -44.466873618166 50.000000
 133  0.000004729941 -44.468512597971 50.000000
 134  0.000004738552 -44.470175186731 50.000000
 135  0.000004742314 -44.471858415726 50.000000
 136  0.000004741192 -44.473559118746 50.000000
 137  0.000004735179 -44.475273957032 50.000000
 138  0.000004724296 -44.476999447685 50.000000
