#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 5130 10258     0     2  8.14847e+03  0.00000e+00 -1.65502e-03  1752
 5130 10258     0     2  7.94601e+03  0.00000e+00 -1.55880e-03  1672
 5130 10258     0     2  8.05335e+03  0.00000e+00 -1.40543e-03  1746
 5130 10258     0     2  7.95359e+03  0.00000e+00  2.94767e-03  1784
 5130 10258     0     2  7.98123e+03  0.00000e+00 -1.76383e-03  1750
 5130 10258     0     2  7.96219e+03  0.00000e+00  1.41234e-03  1784
 5130 10258     0     2  7.94606e+03  0.00000e+00 -1.76750e-03  1558
 5130 10258     0     2  7.93653e+03  0.00000e+00  1.92975e-03  1716
 5130 10258     0     2  8.03495e+03  0.00000e+00  3.66907e-03  1784
 5130 10258     0     2  7.97276e+03  0.00000e+00 -3.10017e-03  1784
 5130 10258     0     2  8.00888e+03  0.00000e+00  1.59829e-03  1752
 5130 10258     0     2  7.86242e+03  0.00000e+00 -1.63429e-03  1570
 5130 10258     0     2  8.24862e+03  0.00000e+00  1.52936e-03  1782
 5130 10258     0     2  7.95779e+03  0.00000e+00 -1.69882e-03  1810
 5130 10258     0     2  7.89846e+03  0.00000e+00 -2.35618e-03  1784
 5130 10258     0     2  7.93657e+03  0.00000e+00  2.07448e-03  1784
 5130 10258     0     2  7.95849e+03  0.00000e+00 -1.91685e-03  1694
 5130 10258     0     2  8.13381e+03  0.00000e+00 -1.96486e-03  1752
 5130 10258     0     2  7.94287e+03  0.00000e+00  1.56759e-03  1784
 5130 10258     0     2  7.97233e+03  0.00000e+00  1.75688e-03  1792
 5130 10258     0     2  8.19468e+03  0.00000e+00 -3.59743e-03  1784
 5130 10258     0     2  8.03931e+03  0.00000e+00  2.78102e-03  1784
 5130 10258     0     2  8.11727e+03  0.00000e+00 -1.80015e-03  1752
 5130 10258     0     2  7.79828e+03  0.00000e+00 -2.14736e-03  1584
 5130 10258     0     2  7.99923e+03  0.00000e+00 -3.29795e-03  1784
