00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Fri Aug  9 23:56:28 2024
00106  0.01647 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:24 2024
00107  0.01725 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:27 2024
00108  0.01658 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:30 2024
00109  0.01629 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:33 2024
00110  0.01714 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:36 2024
00111  0.01639 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:39 2024
00112  0.01619 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:42 2024
00113  0.01667 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:45 2024
00114  0.01666 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:48 2024
00115  0.01692 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:52 2024
00116  0.01690 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:55 2024
00117  0.01627 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:02:58 2024
00118  0.01637 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:01 2024
00119  0.01595 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:04 2024
00120  0.01620 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:07 2024
00121  0.01596 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:10 2024
00122  0.01616 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:13 2024
00123  0.01653 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:16 2024
00124  0.01558 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:19 2024
00125  0.01637 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:22 2024
00126  0.01684 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:25 2024
00127  0.01583 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:28 2024
00128  0.01642 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:31 2024
00129  0.01747 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:34 2024
00130  0.01654 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:37 2024
00131  0.01710 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:40 2024
00132  0.01669 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:43 2024
00133  0.01614 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:46 2024
00134  0.01621 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:49 2024
00135  0.01633 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:53 2024
00136  0.01670 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:56 2024
00137  0.01619 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:03:59 2024
00138  0.01653 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:02 2024
00139  0.01631 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:05 2024
00140  0.01660 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:08 2024
00141  0.01609 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:11 2024
00142  0.01691 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:14 2024
00143  0.01657 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:17 2024
00144  0.01626 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:20 2024
00145  0.01589 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:23 2024
00146  0.01615 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:26 2024
00147  0.01642 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:29 2024
00148  0.01698 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:32 2024
00149  0.01650 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:35 2024
00150  0.01688 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:38 2024
00151  0.01678 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:41 2024
00152  0.01631 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:44 2024
00153  0.01634 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:48 2024
00154  0.01692 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:51 2024
00155  0.01626 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:54 2024
00156  0.01616 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:04:57 2024
00157  0.01668 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:00 2024
00158  0.01619 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:03 2024
00159  0.01626 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:06 2024
00160  0.01664 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:09 2024
00161  0.01631 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:12 2024
00162  0.01651 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:15 2024
00163  0.01608 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:18 2024
00164  0.01690 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:21 2024
00165  0.01635 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:24 2024
00166  0.01612 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:28 2024
00167  0.01664 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:31 2024
00168  0.01644 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:34 2024
00169  0.01637 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:37 2024
00170  0.01584 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:40 2024
00171  0.01676 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:43 2024
00172  0.01717 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:46 2024
00173  0.01595 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:49 2024
00174  0.01615 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:52 2024
00175  0.01680 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:55 2024
00176  0.01659 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:05:58 2024
00177  0.01639 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:01 2024
00178  0.01647 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:04 2024
00179  0.01631 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:07 2024
00180  0.01675 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:11 2024
00181  0.01591 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:14 2024
00182  0.01656 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:17 2024
00183  0.01637 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:20 2024
00184  0.01601 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:23 2024
00185  0.01645 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:26 2024
00186  0.01597 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:29 2024
00187  0.01632 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:32 2024
00188  0.01661 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:35 2024
00189  0.01570 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:38 2024
00190  0.01651 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:41 2024
00191  0.01700 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:44 2024
00192  0.01686 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:47 2024
00193  0.01683 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:50 2024
00194  0.01630 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:53 2024
00195  0.01596 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:56 2024
00196  0.01669 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:06:59 2024
00197  0.01623 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:07:02 2024
00198  0.01676 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:07:05 2024
00199  0.01690 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:07:09 2024
00200  0.01598 0.00000 0.00000 1654784  0         0       : Sat Aug 10 00:07:12 2024
